frequency_band,n_significant,mean_diff,std_diff,median_diff,mean_hedges_g,median_hedges_g,mean_rbc,median_rbc,ci_lower,ci_upper,percent_positive
beta,4,-0.0089,0.002,-0.0092,-1.0836,-0.9366,0.9524,0.9524,-0.0146,-0.0043,0.0
delta,5,-0.0191,0.0025,-0.0182,-0.7741,-0.7823,0.9429,0.9048,-0.037,-0.0069,0.0
gamma,1,-0.0019,0.0,-0.0019,-0.6054,-0.6054,1.0,1.0,-0.0049,-0.0007,0.0
theta,1,0.0109,0.0,0.0109,1.0521,1.0521,-1.0,-1.0,0.005,0.0167,100.0
