,mean_difference,bias,std_error,bca_ci_lower,bca_ci_upper,effect_size_cohen_d,effect_size_hedges_g,wilcoxon_stat,wilcoxon_rbc,p_value,significant,channel_pair,frequency_band,channel_pair_type,bonferroni_corrected_p,fdr_corrected_p
3105,0.008766666666666666,-3.2049999999998746e-05,0.007007241129142365,-0.0033999999999999677,0.024066666666666636,0.47199332445705844,0.37759465956564675,6.0,-0.4285714285714286,0.2066,False,P3_C6,beta,EEG_EEG,1.0,0.6357733908948195
3106,0.006039999999999999,1.7928000000000388e-05,0.00321125847399676,0.0016399999999999997,0.013919999999999998,0.7501629777056826,0.5455730746950419,1.0,-0.8666666666666667,0.0006,True,P3_CP2,beta,EEG_EEG,1.0,0.010408407079646017
3107,7.999999999998008e-05,-1.3172000000000598e-05,0.013049764777129713,-0.019519999999999982,0.032559999999999895,0.0024350305433307475,0.0017709313042405437,5.0,0.3333333333333333,0.9886,False,P3_CP3,beta,EEG_EEG,1.0,0.9960951683371884
3108,0.00876666666666665,-2.7150000000001825e-05,0.014666170676831222,-0.017633333333333317,0.04059999999999996,0.22296556839952858,0.17837245471962287,10.0,-0.04761904761904767,0.5662,False,P3_CP4,beta,EEG_EEG,1.0,0.9103084273118721
3109,0.018099999999999936,-6.161333333333172e-05,0.008642015288206774,0.001033333333333334,0.034266666666666515,0.7861336668433799,0.6289069334747039,4.0,-0.6190476190476191,0.035,True,P3_CP6,beta,EEG_EEG,1.0,0.25114030937215653
3110,0.01479999999999998,1.917600000000269e-05,0.0033258391483990965,0.00991999999999994,0.02364,1.7735046609211385,1.2898215715790098,0.0,-1.0,0.0,True,P3_CPz,beta,EEG_EEG,0.0,0.0
3111,0.005599999999999984,-5.913000000000012e-05,0.012323515027908996,-0.016633333333333264,0.030666666666666603,0.1699387073987214,0.13595096591897712,9.0,-0.14285714285714285,0.6908,False,P3_Cz,beta,EEG_EEG,1.0,0.9355784620677792
3112,0.004033333333333317,-4.6250000000000284e-05,0.0040192662326114965,-0.005799999999999966,0.010199999999999933,0.3777717419947997,0.30221739359583977,5.0,-0.5238095238095237,0.3322,False,P3_F1,beta,EEG_EEG,1.0,0.7652337441314554
3113,0.00387999999999998,4.81040000000002e-05,0.0076451200386379835,-0.008080000000000021,0.021799999999999996,0.20215683035064572,0.14702314934592417,7.0,-0.06666666666666665,0.6592,False,P3_F2,beta,EEG_EEG,1.0,0.9329587519830778
3114,0.008079999999999981,3.0619999999998565e-05,0.011523333122651578,-0.013119999999999937,0.03155999999999986,0.2797318453688685,0.20344134208644984,6.0,-0.19999999999999996,0.4794,False,P3_F4,beta,EEG_EEG,1.0,0.8701331944444445
3115,-0.027439999999999975,-5.5756000000004025e-05,0.015662974457888362,-0.06451999999999991,-0.00184,-0.6936843625316141,-0.5044977182048103,2.0,0.7333333333333334,0.0588,True,P3_F5,beta,EEG_EEG,1.0,0.34432471994025393
3116,0.01806666666666662,-0.00010662333333333676,0.008587928958609402,-0.004899999999999999,0.030566666666666586,0.7859808595822935,0.6287846876658348,3.0,-0.7142857142857142,0.0574,False,P3_F6,beta,EEG_EEG,1.0,0.33942187028657617
3117,-0.0033999999999999803,-1.3048000000000313e-05,0.0038724276610023474,-0.01064000000000002,0.0048000000000000195,-0.34810056620590224,-0.2531640481497471,5.0,0.3333333333333333,0.4078,False,P3_F8,beta,EEG_EEG,1.0,0.8232646240988671
3118,-0.0008333333333333167,-2.051666666666647e-05,0.005742120616766933,-0.013833333333333267,0.008833333333333351,-0.05417304411222968,-0.04333843528978375,10.0,0.04761904761904767,0.9064,False,P3_FC2,beta,EEG_EEG,1.0,0.969917307953773
3119,0.02259999999999993,-5.696333333333331e-05,0.006641863824826914,0.010599999999999965,0.0363506468217858,1.2714137050537135,1.0171309640429709,1.0,-0.9047619047619047,0.0002,True,P3_FC3,beta,EEG_EEG,1.0,0.003910723192019951
3120,0.016080000000000004,-3.16000000000205e-06,0.014924705003932184,-0.01943999999999988,0.03919999999999988,0.4310586103402342,0.31349717115653397,3.0,-0.6000000000000001,0.296,False,P3_FC4,beta,EEG_EEG,1.0,0.7259730997810446
3121,0.004800000000000001,-4.828000000000037e-05,0.009991340747391627,-0.014299999999999933,0.023999999999999938,0.18033392693348702,0.14426714154678963,8.0,-0.23809523809523814,0.6482,False,P3_FC6,beta,EEG_EEG,1.0,0.9329587519830778
3122,0.001399999999999959,-4.250399999999985e-05,0.010632777419375615,-0.02404000000000006,0.01923999999999996,0.05221264223252437,0.03797283071456318,7.0,-0.06666666666666665,0.8934,False,P3_FCz,beta,EEG_EEG,1.0,0.9690977470628888
3123,0.0063999999999999405,-1.7096000000001166e-05,0.007828241133663665,-0.00528000000000002,0.027039999999999897,0.32609798073128277,0.23716216780456928,7.0,-0.06666666666666665,0.4714,False,P3_FFT8h,beta,EEG_EEG,1.0,0.8643420093457944
3124,0.0005666666666666667,-7.913666666666615e-05,0.006722737830939407,-0.020800744888825457,0.009366666666666648,0.031752800804332605,0.025402240643466086,6.0,-0.4285714285714286,0.8588,False,P3_FT10,beta,EEG_EEG,1.0,0.9652670893209355
3125,-0.005333333333333366,5.479666666666563e-05,0.016867470925910396,-0.0510333333333333,0.01953333333333325,-0.11801089109339483,-0.09440871287471586,9.0,-0.14285714285714285,0.8006,False,P3_FTT7h,beta,EEG_EEG,1.0,0.9554801522070014
3126,0.0033666666666666,-4.0216666666666786e-05,0.00701957167558041,-0.0097,0.0174333333333332,0.17952793963326655,0.14362235170661325,8.0,-0.23809523809523814,0.6622,False,P3_FTT8h,beta,EEG_EEG,1.0,0.9329587519830778
3127,-0.0042999999999999506,1.8666666666642545e-07,0.00314313724532246,-0.010466666666666602,0.0015000000000000332,-0.506043472014123,-0.40483477761129844,5.0,0.5238095238095237,0.1682,False,P3_Fp2,beta,EEG_EEG,1.0,0.5802271007479103
3128,-0.011299999999999968,-1.0586666666662775e-05,0.01622752917216911,-0.0390333333333333,0.024866666666666665,-0.2592706206661317,-0.2074164965329054,8.0,0.23809523809523814,0.4798,False,P3_O1,beta,EEG_EEG,1.0,0.8704562239703841
3129,0.020700000000000034,-0.00014146333333333108,0.015617412191837845,-0.008966666666666548,0.0511,0.49500627417410925,0.39600501933928745,5.0,-0.5238095238095237,0.1886,False,P3_O2,beta,EEG_EEG,1.0,0.6068168239638899
