,mean_difference,bias,std_error,bca_ci_lower,bca_ci_upper,effect_size_cohen_d,effect_size_hedges_g,wilcoxon_stat,wilcoxon_rbc,p_value,significant,channel_pair,frequency_band,channel_pair_type,bonferroni_corrected_p,fdr_corrected_p
24,-0.019566666666666604,0.00010689666666666847,0.012905580037435553,-0.04156666666666655,0.009300000000000017,-0.5704924769965216,-0.45639398159721734,4.0,0.6190476190476191,0.1426,False,AF3_PO7,alpha,EEG_EEG,1.0,0.5225430516619944
25,-0.035733333333333235,-1.4836666666670495e-05,0.009703140487376577,-0.055266666666666554,-0.01873333333333325,-1.3732272730335802,-1.098581818426864,0.0,1.0,0.0,True,AF3_PO8,alpha,EEG_EEG,0.0,0.0
26,-0.0340333333333333,3.6803333333335075e-05,0.016228792810009326,-0.06986666666666658,-0.006466666666666666,-0.781887085463203,-0.6255096683705624,3.0,0.7142857142857142,0.02,True,AF3_POz,alpha,EEG_EEG,1.0,0.1692876965772433
27,0.0016999999999999665,8.781666666666729e-05,0.015203555976947175,-0.03233333333333333,0.027828457682161075,0.0422000217898182,0.03376001743185456,9.0,-0.14285714285714285,0.872,False,AF3_TPP7h,alpha,EEG_EEG,1.0,0.9588645920941968
28,-0.02506666666666672,7.003333333334069e-05,0.01578371527165472,-0.07236666666666668,-0.0024666666666667337,-0.5915539619777027,-0.47324316958216217,3.0,0.7142857142857142,0.0514,True,AF3_TTP8h,alpha,EEG_EEG,1.0,0.30070971867007673
29,-0.012866666666666684,3.381000000000044e-05,0.016576678272517884,-0.04926666666666668,0.015966666666666633,-0.28967030378379033,-0.23173624302703227,10.0,0.04761904761904767,0.4524,False,AF7_AF3,alpha,EEG_EEG,1.0,0.815657142857143
30,0.015233333333333267,8.093666666666652e-05,0.00829010672967013,-0.002166666666666734,0.030133333333333203,0.6852422945697323,0.5481938356557858,4.0,-0.6190476190476191,0.069,False,AF7_AF4,alpha,EEG_EEG,1.0,0.3587215909090909
31,-0.008933333333333383,3.864333333333282e-05,0.02008048339733301,-0.05480000000000013,0.025799999999999965,-0.16616784453042224,-0.1329342756243378,10.0,0.04761904761904767,0.7116,False,AF7_AFz,alpha,EEG_EEG,1.0,0.914229797979798
32,0.0002666666666666344,5.1093333333332826e-05,0.015515887016723625,-0.026466666666666694,0.03586666666666658,0.006451888171755919,0.0051615105374047355,9.0,0.14285714285714285,0.9954,False,AF7_C1,alpha,EEG_EEG,1.0,0.9983459388359093
33,-0.03149999999999995,0.00020915666666666832,0.017003347678224007,-0.058299999999999935,0.007000000000000034,-0.6918102956881672,-0.5534482365505338,5.0,0.5238095238095237,0.0742,False,AF7_C2,alpha,EEG_EEG,1.0,0.37120284308365226
34,-0.012399999999999986,-4.239999999995636e-06,0.01600099431008237,-0.05539999999999993,0.011033333333333317,-0.2922383337682052,-0.23379066701456416,9.0,0.14285714285714285,0.488,False,AF7_C5,alpha,EEG_EEG,1.0,0.8344554270794479
35,-0.025966666666666704,0.00015962333333333772,0.018260288170182902,-0.05876666666666667,0.011666666666666601,-0.5321173808839635,-0.42569390470717083,5.0,0.5238095238095237,0.1692,False,AF7_C6,alpha,EEG_EEG,1.0,0.5681394495412844
36,-0.013433333333333334,-4.663333333335129e-06,0.015971413578571132,-0.042766666666666654,0.02079999999999998,-0.31413685545302367,-0.25130948436241896,6.0,0.4285714285714286,0.3832,False,AF7_CP3,alpha,EEG_EEG,1.0,0.7615725456125109
37,-0.04656666666666664,0.00011677333333334067,0.02051551457880271,-0.09363753220318433,-0.013033333333333301,-0.8452084846341847,-0.6761667877073478,1.0,0.9047619047619047,0.0,True,AF7_CP4,alpha,EEG_EEG,0.0,0.0
38,-0.014099999999999948,8.429999999999722e-05,0.013983242151430937,-0.0399999999999999,0.015533333333333352,-0.3773135263297627,-0.3018508210638102,5.0,0.5238095238095237,0.3352,False,AF7_CPz,alpha,EEG_EEG,1.0,0.7293888228299643
39,0.004433333333333366,-5.732333333333291e-05,0.009028784200908035,-0.017733333333333236,0.018600000000000033,0.18211681702417368,0.14569345361933894,8.0,-0.23809523809523814,0.5998,False,AF7_F1,alpha,EEG_EEG,1.0,0.8853315050814649
40,-0.013733333333333297,5.3566666666666e-05,0.010818740507461,-0.03193333333333329,0.01056666666666665,-0.4735534583725409,-0.37884276669803274,4.0,0.6190476190476191,0.1868,False,AF7_F2,alpha,EEG_EEG,1.0,0.589996548153262
41,-0.014333333333333281,-0.0001404933333333351,0.020541099247361482,-0.04489999999999995,0.04209999999999999,-0.25961231001383334,-0.20768984801106669,7.0,0.3333333333333333,0.4476,False,AF7_F5,alpha,EEG_EEG,1.0,0.811640903686088
42,-0.021999999999999964,0.00018376666666666472,0.021695849112240588,-0.07119999999999994,0.014166666666666668,-0.37780482064316584,-0.30224385651453267,7.0,0.3333333333333333,0.3356,False,AF7_F6,alpha,EEG_EEG,1.0,0.7293919239904989
43,-0.030033333333333346,4.4449999999991024e-05,0.013908796092870726,-0.07386666666666675,-0.011333333333333315,-0.8042274889154376,-0.6433819911323502,0.0,1.0,0.0,True,AF7_FC3,alpha,EEG_EEG,0.0,0.0
44,-0.02879999999999998,0.00020635666666666413,0.023215320323094837,-0.08336666666666666,0.007833333333333385,-0.46286508956324873,-0.370292071650599,5.0,0.5238095238095237,0.2012,False,AF7_FC4,alpha,EEG_EEG,1.0,0.6079854689564068
45,-0.018233333333333303,9.876333333333487e-05,0.008875720510570775,-0.03436666666666665,-0.00046666666666656784,-0.764371245625221,-0.6114969965001769,4.0,0.6190476190476191,0.036,True,AF7_FCz,alpha,EEG_EEG,1.0,0.2449926035502959
46,-3.700743415417188e-17,8.946000000000103e-05,0.018230753291487076,-0.05364024969583991,0.025966666666666614,-7.413102550736778e-16,-5.930482040589423e-16,7.0,-0.3333333333333333,0.9362,False,AF7_FFT8h,alpha,EEG_EEG,1.0,0.9784386065105654
47,-0.020799999999999968,2.3336666666668587e-05,0.01197658507069291,-0.0432333333333333,0.002466666666666733,-0.6509874016137615,-0.5207899212910092,5.0,0.5238095238095237,0.0846,False,AF7_FTT7h,alpha,EEG_EEG,1.0,0.40149896265560164
48,-0.014499999999999966,-1.1319999999996957e-05,0.02267817447757594,-0.05901302033420544,0.031699999999999964,-0.23912642186503663,-0.19130113749202932,8.0,0.23809523809523814,0.5306,False,AF7_P1,alpha,EEG_EEG,1.0,0.8535711775043937
49,-0.006566666666666716,-4.2466666666667735e-05,0.015055114543421934,-0.04186666666666667,0.01889999999999992,-0.16252738016996487,-0.1300219041359719,10.0,0.04761904761904767,0.6916,False,AF7_P2,alpha,EEG_EEG,1.0,0.9098691588785046
