,mean_difference,bias,std_error,bca_ci_lower,bca_ci_upper,effect_size_cohen_d,effect_size_hedges_g,wilcoxon_stat,wilcoxon_rbc,p_value,significant,channel_pair,frequency_band,channel_pair_type,bonferroni_corrected_p,fdr_corrected_p
0,-0.004428699998523717,1.4198468499330465e-05,0.00791614039152385,-0.01913508674710279,0.011428251913056553,-0.20733923197660054,-0.16587138558128045,7.0,0.3333333333333333,0.5762,False,AF3_ECG,alpha,EEG_ECG,1.0,0.8849552238805971
1,0.0009832928341021335,2.4442737659806672e-05,0.004862451029882699,-0.009281474440376533,0.00971484882496925,0.07510914220734144,0.06008731376587315,10.0,-0.04761904761904767,0.8378,False,AF4_ECG,alpha,EEG_ECG,1.0,0.9693830508474577
2,-0.0060863128395457836,6.351685189036251e-05,0.006569158641757838,-0.01762668507442078,0.009684511108312983,-0.3437759899141422,-0.2750207919313138,6.0,0.4285714285714286,0.3782,False,AF7_ECG,alpha,EEG_ECG,1.0,0.801048611111111
3,0.0011843893437678832,5.0294473450567586e-05,0.010202134972903766,-0.017619092515842132,0.022376404345440498,0.04298121026305725,0.0343849682104458,10.0,-0.04761904761904767,0.9246,False,AFz_ECG,alpha,EEG_ECG,1.0,0.9693830508474577
4,-0.0008159964157967827,3.2726745770044526e-05,0.005519125300636136,-0.010136930416516948,0.011626477576663567,-0.05488666969630834,-0.043909335757046676,9.0,0.14285714285714285,0.893,False,C1_ECG,alpha,EEG_ECG,1.0,0.9693830508474577
5,-0.004768159480226134,3.402125651159535e-05,0.008035995099929003,-0.02134456688223835,0.010170656178541833,-0.21973746361229632,-0.17578997088983705,7.0,0.3333333333333333,0.5746,False,C2_ECG,alpha,EEG_ECG,1.0,0.8849552238805971
6,-0.005696500259009099,1.9261150398705226e-05,0.003448828909149944,-0.012279550292306518,0.000330515228734034,-0.6114529383720534,-0.48916235069764274,6.0,0.4285714285714286,0.1124,False,C3_ECG,alpha,EEG_ECG,1.0,0.4828450704225352
7,-0.0036319819816108168,7.477359908676998e-05,0.008678590358467266,-0.021568572401384403,0.012066487283759702,-0.1561928255592201,-0.12495426044737608,10.0,0.04761904761904767,0.7112,False,C4_ECG,alpha,EEG_ECG,1.0,0.947231441048035
8,-0.0110950808371957,3.277321174582383e-05,0.007334741350430809,-0.02502952593238955,0.0036901398078199284,-0.5606003690440543,-0.44848029523524346,4.0,0.6190476190476191,0.1314,False,C5_ECG,alpha,EEG_ECG,1.0,0.5073037974683544
9,-0.005806488739567166,6.912886122159914e-05,0.008196666393629535,-0.0200526553215961,0.013852191419549617,-0.26272580639010096,-0.2101806451120808,9.0,0.14285714285714285,0.5742,False,C6_ECG,alpha,EEG_ECG,1.0,0.8849552238805971
10,-0.004366794081715734,6.50999504153791e-06,0.007587193658042738,-0.017143162182839917,0.012848239429934833,-0.2132136131237679,-0.17057089049901433,8.0,0.23809523809523814,0.5496,False,CP1_ECG,alpha,EEG_ECG,1.0,0.8776335078534031
11,-0.00841994120423285,6.06225818490496e-05,0.008831982398936851,-0.028750542883802594,0.0061673992042040994,-0.3559502675748063,-0.28476021405984503,7.0,0.3333333333333333,0.3592,False,CP2_ECG,alpha,EEG_ECG,1.0,0.7851571428571429
12,0.0008967369869418833,-1.5617639996527667e-05,0.007369393162993285,-0.012859389608065734,0.015568449989389601,0.04524853982922989,0.036198831863383914,10.0,-0.04761904761904767,0.9186,False,CP3_ECG,alpha,EEG_ECG,1.0,0.9693830508474577
13,-0.006263267628020483,4.3416235376420725e-05,0.007879021670412411,-0.025208242243701013,0.007011472622517984,-0.29637131860392407,-0.23709705488313926,9.0,0.14285714285714285,0.44,False,CP4_ECG,alpha,EEG_ECG,1.0,0.8283950617283952
14,-0.009448439123313782,-1.775817737590009e-05,0.006644419322015802,-0.021434421535315815,0.004896801577921818,-0.5287938831748648,-0.42303510653989185,5.0,0.5238095238095237,0.1636,False,CP5_ECG,alpha,EEG_ECG,1.0,0.5423695652173912
15,-0.0020247017991155665,5.436394935164589e-05,0.009011908414419123,-0.01953351171143222,0.015158591923724651,-0.08323642342939007,-0.06658913874351206,9.0,0.14285714285714285,0.8562,False,CP6_ECG,alpha,EEG_ECG,1.0,0.9693830508474577
16,-0.001643628867792201,2.9852178755134743e-05,0.007214270455616667,-0.016995664747913468,0.01098032012822475,-0.08484796116015415,-0.06787836892812332,9.0,0.14285714285714285,0.8534,False,CPz_ECG,alpha,EEG_ECG,1.0,0.9693830508474577
17,-0.00279183953720335,3.042515833279755e-05,0.009340155928706212,-0.023578360510383495,0.0131238470477227,-0.1110409194097184,-0.08883273552777472,10.0,-0.04761904761904767,0.8244,False,Cz_ECG,alpha,EEG_ECG,1.0,0.9693830508474577
18,0.0028293325133475996,3.681465449753996e-05,0.005199901693641351,-0.0063828173566059495,0.014662011588607146,0.20156068732211385,0.1612485498576911,9.0,-0.14285714285714285,0.5952,False,F1_ECG,alpha,EEG_ECG,1.0,0.8930873786407766
19,-0.0024696774254048515,4.265848612664425e-05,0.005660724238383135,-0.012389203988477917,0.008793330172412213,-0.16206041968960225,-0.1296483357516818,9.0,0.14285714285714285,0.6446,False,F2_ECG,alpha,EEG_ECG,1.0,0.9101990740740741
20,-0.0018918217849588006,3.2978064847721724e-05,0.008108934597462031,-0.014493133855248983,0.01754445057750863,-0.08663210997344709,-0.06930568797875768,9.0,0.14285714285714285,0.8102,False,F3_ECG,alpha,EEG_ECG,1.0,0.9693830508474577
